card_name,issuer,annual_fee,signup_bonus_spend_requirement,signup_bonus_value,base_rate,bonus_category_1,bonus_rate_1,bonus_category_2,bonus_rate_2,bonus_category_3,bonus_rate_3,user_selectable_categories,selectable_category_options,rotating_categories,activation_required,quarterly_cap,annual_cap,min_transactions_required,foreign_transaction_fee,currency_type,base_redemption_value,max_redemption_value,best_redemption_method,notes,rent_0ayment_capability,rewards_on_rent,transaction_fee,notes_rent_payments,,,,,,
Chase Sapphire Preferred,Chase,$95,"$5,000 in 3 months","60,000 points",0.01,Travel (via Chase Travel portal),0.05,Dining (restaurants & delivery),0.03,Online groceries & Streaming services,0.03,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.25,Use points for travel via Chase (25% bonus) or transfer to partners for max value,3x on streaming & online groceries; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Chase Sapphire Reserve,Chase,$550,"$5,000 in 3 months","60,000 points",0.01,"Travel (general, after $300 credit)",0.03,Dining (restaurants),0.03,Flights via Chase Travel portal (5x) & Hotels/Car rentals via Chase Travel (10x),,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.5,Travel portal for 50% bonus or transfer points to airlines/hotels,$300 annual travel credit; Lounge access; No foreign fees,⚠️ Limited,None,Varies,Similar to Sapphire Preferred; not ideal for rent payments.,,,,,,
Chase Freedom Flex,Chase,$0,$500 in 3 months,$200 cash back,0.01,Rotating bonus categories (quarterly),0.05,Travel via Chase Travel portal,0.05,Dining & Drugstores,0.03,FALSE,,TRUE,TRUE,1500,,,0.03,CASHBACK,1,1,Redeem as cash or combine points with Sapphire for better value,"5% categories on $1,500/quarter (activation required)",⚠️ Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,,,,,,
Chase Freedom Unlimited,Chase,$0,$500 in 3 months,$200 cash back,0.015,Travel via Chase Travel portal,0.05,Dining (restaurants),0.03,Drugstore purchases,0.03,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem for cash (or as points transferrable if paired with Sapphire),Unlimited 1.5% on all other purchases,⚠️ Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,,,,,,
Chase Ink Business Cash,Chase,$0,"$6,000 in 6 months",$750 cash back,0.01,Office Supply & Internet/Phone/Cable (combined),0.05,Gas & Restaurants (combined),0.02,,,FALSE,,FALSE,FALSE,,25000,,0.03,CASHBACK,1,1,Redeem as cash; can combine with Ultimate Rewards if you have a Sapphire/Ink Preferred,5% and 2% rewards on first $25k in respective categories each year,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Chase Ink Business Unlimited,Chase,$0,"$6,000 in 3 months",$750 cash back,0.015,,,,,,,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as cash; points can be pooled into Ultimate Rewards program,Unlimited 1.5% cash back on all purchases,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Chase United Explorer Card,Chase,$95,"$3,000 in 3 months","60,000 miles",0.01,United Airlines purchases,0.02,Dining (incl. delivery),0.02,Hotel stays,0.02,FALSE,,FALSE,FALSE,,,,0,MILES,1.2,1.35,Redeem for United flights (best for award travel transfers):contentReference[oaicite:8]{index=8},Free checked bag & lounge passes; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Chase Amazon Prime Visa,Chase,$0,N/A (Instant $150 Amazon Gift Card on approval),$150 Amazon Gift Card,0.01,"Amazon.com, Whole Foods, Amazon Fresh, Chase Travel",0.05,"Gas, Restaurants, Transit",0.02,,,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Redeem for cash or Amazon purchases (1 point = $0.01),5% back requires Prime membership; No foreign fees,⚠️ Limited,None,Varies,Not designed for rent payments; fees likely apply.,,,,,,
Chase Southwest Performance Business,Chase,$199,"$5,000 in 3 months","80,000 points",0.01,Southwest Airlines purchases,0.04,Rapid Rewards hotel & car partners,0.03,Social Media/Search Ads & Internet/Phone services; Rideshare,0.02,FALSE,,FALSE,FALSE,,,,0,POINTS,1.3,1.7,Redeem for Southwest flights (points ~1.3¢ each):contentReference[oaicite:13]{index=13},9K anniversary points & companion pass-qualifying spend; No foreign fees,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
American Express Gold Card,American Express,$325,"$6,000 in 6 months","60,000 points",0.01,Restaurants worldwide (up to $50k/yr),0.04,U.S. Supermarkets (up to $25k/yr),0.04,Flights (direct or Amex Travel),0.03,FALSE,,FALSE,FALSE,,50000,,0,POINTS,1,2,Transfer MR points to travel partners for highest value,$10 monthly dining & $10 Uber credits; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
American Express Platinum Card,American Express,$695,"$8,000 in 6 months","80,000 points",0.01,Flights (booked directly or via Amex Travel),0.05,Prepaid Hotels (via Amex Travel),0.05,,,FALSE,,FALSE,FALSE,,500000,,0,POINTS,1,2,Transfer MR points to airlines for premium flights (TPG ~2¢/point),"$200 airline fee credit, $200 Uber credit, airport lounge access; No foreign fees",⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
American Express Green Card,American Express,$150,"$3,000 in 6 months","40,000 points",0.01,Travel & Transit (global),0.03,Restaurants (worldwide),0.03,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,2,Transfer MR points or use for travel at ~1¢/point,$189 CLEAR® Plus credit/year; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Amex Business Gold Card,American Express,$375,"$15,000 in 3 months","100,000 points",0.01,"Top 2 spend categories each month (ads, tech, dining, gas, transit, wireless)",0.04,,,,FALSE,,FALSE,FALSE,,150000,,0,POINTS,1,2,Transfer MR points to travel partners (TPG ~2¢),$240/yr FedEx/Grubhub/Office credit ($20/mo) & $155/yr Walmart+ credit; No foreign fees,,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Amex Blue Business Plus,American Express,$0,"$3,000 in 3 months","15,000 points",0.02,,,,,,,FALSE,,FALSE,FALSE,,50000,,0.027,POINTS,1,2,Transfer MR points to partners or use for travel (1¢/point),2X points on all purchases up to $50k/year; 3% foreign fee:contentReference[oaicite:22]{index=22},⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Amex Marriott Bonvoy Business,American Express,$125,"$5,000 in 3 months","75,000 points",0.01,Marriott hotel purchases,0.06,Restaurants (worldwide),0.04,"U.S. Gas, Wireless phone & Shipping",0.04,FALSE,,FALSE,FALSE,,,,0,POINTS,0.9,1.3,Use points for Marriott stays (~0.7–1.1¢ value),Free annual night award & elite status; No foreign fees,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Amex Delta SkyMiles Gold,American Express,$99 ($0 first year),"$2,000 in 6 months","50,000 miles",0.01,Delta Air Lines purchases,0.02,Restaurants worldwide,0.02,U.S. Supermarkets,0.02,FALSE,,FALSE,FALSE,,,,0,MILES,1.2,1.5,Redeem for Delta flights (avg ~1.2¢/mi),Free first checked bag & priority boarding; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Amex Delta SkyMiles Reserve,American Express,$550,"$5,000 in 6 months","70,000 miles",0.01,Delta Air Lines purchases,0.03,,,,FALSE,,FALSE,FALSE,,,,0,MILES,1.2,1.5,Redeem for Delta or partner flights (Delta ~1.2¢/mi),Sky Club lounge access & annual companion ticket; No foreign fees,,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Bilt Mastercard,Wells Fargo,$0,N/A,None,0.01,Dining,0.03,Travel,0.02,,,FALSE,,FALSE,FALSE,,,5,0,POINTS,1,1.5,Transfer points to airline/hotel partners (~1.25¢+ value),Requires 5 transactions/month to earn rewards; 1x on rent payments (up to $50k/year); No foreign fees,✅ Yes,1x points,$0,Specifically designed for rent payments; no fees when paying rent through the Bilt app.,,,,,,
Discover it Cash Back,Discover,$0,N/A (Cashback Match first year),Cashback Match,0.01,Rotating quarterly categories,0.05,,,,FALSE,,TRUE,TRUE,1500,6000,,0,CASHBACK,1,1,Redeem for statement credit or deposit (matched first year),"5% on activated categories (up to $1,500/quarter); All cashback doubled in Year 1",,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Capital One Venture X Rewards,Capital One,$395,"$4,000 in 3 months","75,000 miles",0.02,Hotels & Rental Cars via CapOne Travel,0.1,Flights via CapOne Travel,0.05,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,2,Redeem via travel portal (1¢/mi) or transfer to partners (~2¢),$300 annual travel credit; Priority Pass lounge access; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Capital One Venture Rewards,Capital One,$95,"$4,000 in 3 months","75,000 miles",0.02,Hotels & Rental Cars via CapOne Travel,0.05,,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,2,Redeem for travel or transfer to partners,Earns 2X on all purchases; $100 Global Entry/TSA Pre✓ credit; No foreign fees,,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Capital One Savor Cash Rewards,Capital One,$95,"$3,000 in 3 months",$300 cash back,0.01,Dining & Entertainment,0.04,Popular Streaming Services,0.04,Grocery Stores,0.02,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Redeem as cash back or statement credit,Closed to new applicants (existing cardholders earn 4% in listed categories),⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Capital One Quicksilver,Capital One,$0,$500 in 3 months,$200 cash back,0.015,,,,,,,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Redeem as cash back (unlimited 1.5%),No foreign transaction fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Bank of America Customized Cash Rewards,Bank of America,$0,"$1,000 in 3 months",$200 cash back,0.01,Choice category (user-selected),0.03,Grocery Stores & Wholesale Clubs,0.02,,,TRUE,"Gas, Online Shopping, Dining, Travel, Drug Stores, Home Improvement/Furnishings",FALSE,FALSE,,2500,,0.03,CASHBACK,1,1,Redeem as cash or statement credit,3% category can be changed monthly; 5.25% earn possible with Preferred Rewards; 3% foreign fee,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Bank of America Travel Rewards,Bank of America,$0,"$1,000 in 3 months","25,000 points",0.015,Travel booked via BofA Travel Center,0.03,,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1,Redeem points for travel purchases credit at 1¢ each,No foreign fees; Points do not expire,,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Blue Cash Everyday (Amex),American Express,$0,"$2,000 in 6 months",$200 cash back,0.01,U.S. Supermarkets (up to $6k/yr),0.03,U.S. Gas Stations (up to $6k/yr),0.03,U.S. Online Retail (up to $6k/yr),0.03,FALSE,,FALSE,FALSE,,,,0.027,CASHBACK,1,1,Redeem as statement credit (cash back earned daily),"3% categories capped at $6,000 annual spend each; 2.7% foreign fee:contentReference[oaicite:38]{index=38}",⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Wells Fargo Active Cash,Wells Fargo,$0,$500 in 3 months,$200 cash back,0.02,,,,,,,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as statement credit or bank deposit (unlimited 2%),3% foreign transaction fee applies,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Wells Fargo Autograph,Wells Fargo,$0,"$1,000 in 3 months","20,000 points",0.01,"Travel, Transit, Gas, Dining, Streaming, Phone Plans",0.03,,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1,Redeem points for travel or statement credit at 1¢ each,No foreign transaction fees; Cell phone protection included,,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Citi Double Cash,Citi,$0,N/A,None,0.02,,,,,,,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as cash back or convert to ThankYou points (2% total on all purchases),Earns 1% on purchase + 1% on payment; 3% foreign fee,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Citi Premier,Citi,$95,"$4,000 in 3 months","60,000 points",0.01,Air Travel & Hotels,0.03,Restaurants & Supermarkets,0.03,Gas Stations,0.03,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.7,Transfer ThankYou points to airlines (worth ~1.7¢) or use for travel at 1¢,$100 annual hotel credit on $500+ bookings; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Citi Rewards+,Citi,$0,"$1,500 in 3 months","20,000 points",0.01,U.S. Supermarkets & Gas (combined up to $6k/yr),0.02,,,,FALSE,,FALSE,FALSE,,6000,,0.03,POINTS,1,1,Use points for gift cards or transfer (when paired with Premier),Rounds up rewards to nearest 10 points per purchase; 10% points rebate on redemptions (max 100k pts/yr),,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
PNC Cash Rewards Visa,PNC Bank,$0,"$1,000 in 3 months",$200 cash back,0.01,Gas Stations (up to $8k combined),0.04,Dining (up to $8k combined),0.03,Grocery Stores (up to $8k combined),0.02,FALSE,,FALSE,FALSE,,8000,,0,CASHBACK,1,1,Redeem for statement credit or deposit,"4%/3%/2% categories on first $8,000 annually (across gas, dining, grocery)",⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
TD Cash Visa,TD Bank,$0,"$1,000 in 3 months",$200 cash back,0.01,3% category (user-selected quarterly),0.03,2% category (user-selected quarterly),0.02,,,TRUE,"Dining, Entertainment, Gas, Grocery, Travel",FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as cash back,3% on dining & 2% on grocery by default; categories can be changed each quarter,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Fidelity Rewards Visa Signature,Elan/Fidelity,$0,N/A,None,0.02,,,,,,,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Deposit 2% cash back into Fidelity account,Unlimited 2% cash back on all purchases; No foreign fees from Sep 2023,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Fidelity 529 College Rewards Visa,Elan/Fidelity,$0,N/A,None,0.02,,,,,,,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Deposit rewards (2% value) into Fidelity 529 college savings plan,Same 2% flat rewards structure as Fidelity card; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Amazon Store Card,Synchrony,$0,N/A,None,0,Amazon.com & Whole Foods (Prime members),0.05,,,,FALSE,,FALSE,FALSE,,,,N/A,CASHBACK,1,1,Instant 5% discount applied to Amazon purchases,For Prime members: 5% back at Amazon; Can only be used at Amazon (store card),,❌ No,N/A,N/A,Not accepted for rent payments.,,,,,,
Target REDcard,TD Bank (Target),$0,N/A,None,0,Target purchases (in-store and online),0.05,,,,FALSE,,FALSE,FALSE,,,,N/A,CASHBACK,1,1,5% discount at checkout on Target purchases,Only valid at Target and Target.com; Free shipping & extended returns for cardholders,,❌ No,N/A,N/A,Not accepted for rent payments.,,,,,,
JPMorgan Corporate 360,JPMorgan,N/A,N/A,N/A,N/A,,,,,,,FALSE,,FALSE,FALSE,,,,N/A,N/A,N/A,N/A,N/A,No public data available – corporate card details not found,❌ No,N/A,N/A,Not accepted for rent payments.,,,,,,
Nordstrom Credit Card,TD (Nordstrom),$0,N/A,None,0.01,Nordstrom & Nordstrom Rack purchases,0.02,,,,FALSE,,FALSE,FALSE,,,,0.03,POINTS,1,1,"Earn Nordstrom Notes (2,000 pts = $20) for Nordstrom purchases",2 points/$1 at Nordstrom (≈2% back); 1 point/$1 elsewhere (Visa only); No annual fee (Nordy Club membership),,❌ No,N/A,N/A,Not accepted for rent payments.,,,,,,
Harvard FCU Platinum Rewards,Harvard Federal Credit Union,0,N/A,N/A,0.01,Gas,0.03,Groceries,0.02,Everything Else,0.01,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,"Redeem for cash back, travel, or merchandise","3% gas, 2% groceries, 1% other; no annual or foreign transaction fees【source: https://harvardfcu.org/credit-cards/】",⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Harvard FCU Platinum Rewards+,Harvard FCU,$0,$500 in 3 months,"10,000 points",0.015,,,,,,,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1,Redeem points for cash back (1.5% cash back on everything),1.5% cash back on all purchases:contentReference[oaicite:50]{index=50}; No foreign transaction fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Harvard FCU Platinum,Harvard FCU,$0,N/A,None,0,,,,,,,FALSE,,FALSE,FALSE,,,,0,N/A,N/A,N/A,N/A,No rewards (low-rate card); No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
X1 Credit Card,Coastal Community Bank,$0,None,None,0.02,"Monthly spend over $1,000",0.03,Referrals (30-day window),0.1,Partner merchants via app,0.1,FALSE, ,FALSE,FALSE,0, ,0,0,POINTS,0.007,0.01,"Partner redemptions (e.g. Airbnb, Apple, Delta)",No foreign fees; virtual cards; in-app offers; no late fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
